Product ID,Product Name,SKU,Brand,Category,Subcategory,Product Description,Model Number,Release Date,Price,Discount Price,Cost Price,Wholesale Price
SSIY7ZMP,Than Condition,HW4XYRRZ5EYI,Adidas,Fashion,Accessories,Themselves else identify. Last year responsibility decide here during.,692CLM19Z5,2023-08-22,493.57,476.5250874,399.1342158,375.9804198
MCR9LYZ9,Memory Where,KR3VSBWVKHFR,Zara,Fashion,Accessories,Final road serious kid. Professor worker rest store hospital.,YROYJS5EY6,2022-03-07,476.52,446.1452866,418.3941651,403.967849
YIXPV6FR,Reduce I,SKUUBNFS8FCZ,Prada,Fashion,Footwear,Officer let likely watch. However wind officer modern training issue score.,U6TGHJGCKD,2023-08-16,472.31,442.0259041,434.1636073,410.7696303
ZALZSS4U,Left Whole,W1H1SBK1DQ57,Prada,Fashion,Clothing,Great list street daughter. Choose dream yard.,DXNZR07FA4,2021-08-28,407.74,376.0568199,372.6911572,348.2813552
KDZA6L77,Quickly Dark,GNYYLT91SYLN,Gucci,Fashion,Footwear,Baby investment recently fact suggest. Bit owner coach produce.,1N39816961,2023-04-29,412.45,367.7009589,341.925234,314.3210951
S377UOIH,Eight Congress,C5UGHUQKG2JD,H&M,Fashion,Clothing,Win believe hair day above necessary begin. Prevent sort down practice guess involve.,EPYATSQSQ0,2022-07-03,143.57,121.8620978,91.46641479,69.39894459
K83LV6YK,Stuff Sister,VQBGQR72W1EU,Prada,Fashion,Footwear,Laugh source painting never development radio example. Born off kid.,84TEML0ZLX,2021-09-27,250.13,244.3137619,151.3826788,134.2599096
3VU19X94,Never Woman,IYD14U9RZSI2,Zara,Fashion,Footwear,Bank listen hear who rule. Friend point current avoid.,BNS191HW5C,2022-12-15,450.96,406.3937414,417.3629739,396.2127077
67IEEV4Z,Suggest Small,44UE5CJJGSVN,H&M,Fashion,Accessories,Various fill day. Heart worker put experience area yet.,Q4XRJJX0UW,2020-05-08,410.24,386.5972939,357.4479706,331.6041997
IEL2OUJX,Available Return,ITRRVQ17PHGX,Adidas,Fashion,Footwear,Economy result we spend society. Rise back difficult.,8DFOF5AJYO,2022-08-18,302.96,279.8692452,269.9794538,245.933761
521KFFW8,Practice Yeah,4174M6I145JY,H&M,Fashion,Clothing,Responsibility game by agree benefit thus smile. As all sister speech five poor never.,BOQ6N31313,2022-10-02,52.96,7.265270048,15.11305633,-12.64091376
L544FPT2,Positive Probably,U2TQ3F1U5JNX,H&M,Fashion,Clothing,Once very cause candidate your defense heavy. Report data truth experience.,BHJK8MTXH6,2022-12-18,164.62,132.3579362,130.5521172,112.0719401
BLU9CZBI,Story Treatment,B79FZQQMHLP4,Zara,Fashion,Accessories,Capital person star weight. Industry live suddenly arm. Whom time hit person tell.,BZF4P5CXIP,2022-07-09,146.25,135.6424099,77.52350743,53.47616427
B9C8W5O6,Organization Involve,U7GKSD361BDM,Zara,Fashion,Clothing,Improve foreign work blue student. Successful fire per present crime current.,0BMBFZHEAX,2023-07-26,384.11,343.5663727,353.3488071,334.7001705
SFALI5R1,Third Whom,PUNSZUL61D4P,Adidas,Fashion,Clothing,International region happen. Improve activity them work program across age.,W4A9P1M4UV,2023-12-28,99.91,70.69711154,78.96907928,49.65545164
A0JBJIIG,Term Itself,JMAC525V9TVA,Gucci,Fashion,Footwear,Yeah similar pressure garden leave country response door. Record type technology among our.,CXKHWPJKXE,2020-10-23,199.49,193.9435174,111.9561366,98.02067569
W7FIXABP,This Operation,JOCAZKXJ1H40,Zara,Fashion,Footwear,"Of scene they since people need.
Next others herself heart.",UL8A6SRNI9,2024-02-25,163.29,139.4464834,69.10014679,56.69006869
EK4X7GG4,Part To,LXSR4TJGBFH7,Nike,Fashion,Footwear,Hear game voice grow interest laugh. Majority never name TV coach beautiful include cause.,1OWNAWV21S,2022-04-05,169.51,152.5429737,118.4085212,88.63885727
1JTL5350,Quickly Loss,B10GNEVHKIV4,Zara,Fashion,Footwear,Reach avoid available him when black. Us investment food notice official pattern anyone.,5T2N0V9I3D,2023-04-02,364.82,346.9789472,273.2922313,258.0624542
Z0UODJR5,Allow Drop,0JWL142F0RL6,Adidas,Fashion,Clothing,National product nature key. Environmental time guy knowledge current them. Low statement serious.,OHM40VL39W,2024-09-09,251.52,214.4367189,196.7307278,176.7603197
ZM5HVR3J,Red Board,ORJG88G3BY3A,Prada,Fashion,Footwear,Style church method drive. Know job attention answer.,RULU4LUKYI,2023-03-14,59.04,33.5525951,0.526030872,-9.57656193
1UWTXNG4,Western Tax,MPEUXNF8743V,Prada,Fashion,Accessories,Million yet no decade. Certain billion never break.,WM8NM9R7AZ,2023-04-03,431.43,397.0394339,382.9793556,369.2528607
KLAH0YED,Page Should,7FT9O671ZFZT,Gucci,Fashion,Clothing,"Everything imagine sign. Nation visit find activity.
Avoid financial page both.",FJ2TOST1FG,2024-01-22,213.68,182.661356,147.7964479,126.6570226
YWG66IA1,Rich Good,DMTN12JFEO3X,Prada,Fashion,Clothing,Lawyer police class true.,GBEGVB396Q,2023-05-14,478.77,446.0090749,406.2080509,392.8255077
E7DF46GB,Year Explain,OV8FXRQZ27SC,Adidas,Fashion,Footwear,Purpose indeed that.,LJLGX2M7IK,2021-06-13,267.58,261.0647576,242.7797767,220.5989783
