Sale ID,Order ID,Invoice Number,Transaction Date,Transaction Time,Sales Channel,Customer ID,Product ID,Product Name,SKU,Quantity Sold,Price per Unit,Total Sale Amount
UZEJHAXM,O8UXGX6QLY,YAOJW0WR,2022-05-23 03:59:50,21:02:09,In-store,1MG70SC3,LH4SWC0W,Enjoy Cover,FOXSQYNRXFEA,6,269.52,1617.12
4GGPG04V,XPVCALKNTK,5B1X3CV6,2022-02-18 03:59:50,11:55:56,Mobile,O1OAAWQ5,UYX2SWI1,Kind Bring,GN395ULG4XQ9,4,26.69,106.76
96EPUYWX,GBXN9F1UBH,1Z6G9581,2023-02-08 03:59:50,11:14:14,In-store,CHHXPDPS,67IEEV4Z,Suggest Small,44UE5CJJGSVN,2,410.24,820.48
IWCPI2PR,7TNJ74Y3IA,UN494URK,2021-10-15 03:59:50,03:12:12,Online,NXTYFQP3,EUTTL256,Create Role,BWXG5FCNC6EW,8,473.54,3788.32
DQR04HJO,YNVKKJCFCY,T497ELWM,2023-02-21 03:59:50,16:48:51,In-store,M40TX6NH,SOSKAXIB,Garden Imagine,5DWI6O4HZ0QW,6,307.64,1845.84
OELOEZKK,5FB4ZITT94,HXIJQ7YC,2023-07-03 03:59:50,05:53:50,Mobile,KSVHTSR1,SOD0ZPN0,Pretty Pattern,QD6F0IC5ZJRH,1,484.28,484.28
XUDB0XDH,ACEN1S7COW,SH21BZJE,2022-09-29 03:59:50,17:38:01,Online,3290WIP1,PK12UA57,Page Study,FXLNUGPVF4E7,8,68.75,550
WZBSWKG2,W2JLH9RMWW,2MPF7Y1U,2021-02-16 03:59:50,13:14:43,In-store,7PXNFBAK,F8VCL5EI,Company Thought,2FTTFZVRVJ5X,8,439.88,3519.04
91CCR1Q6,L7WCVTPD0U,3RJQOONI,2019-12-10 03:59:50,07:33:15,Mobile,YCIKH5XU,67IEEV4Z,Suggest Small,44UE5CJJGSVN,2,410.24,820.48
81BVB2YR,S6DRGWG5MQ,64FZP9DK,2020-02-17 03:59:50,01:53:20,Online,UMFF21P6,KNMXJRFH,Stage Plan,FVE2WF7RZY2Y,8,490.12,3920.96
YS6HDAPQ,WKNFRVX1XS,8VB7EMZU,2019-12-03 03:59:50,11:18:30,In-store,48IHNHMZ,G1DDJAAC,Perhaps Him,LR2E0Z3359W9,2,465.35,930.7
PCW9Z5XW,L10O7MGY24,R2NAVSOM,2020-11-18 03:59:50,08:10:10,Mobile,LLITE3W1,C0L0E5UR,Decade Radio,PI5WWULIK2OE,4,305.14,1220.56
YUSKZT9L,7AEI0RPKYW,HTNUESFF,2022-10-23 03:59:50,19:24:00,Online,NBGQZB33,JUZJSGUI,Make For,QY0UWYK9WU68,4,470.62,1882.48
SY56B0TY,MSJLG7MKLX,KJKG9MEQ,2022-12-10 03:59:50,22:13:14,Mobile,EBRM2Y5C,YUDODJ0N,Final Mention,HNFFBCMOJSX7,10,53.12,531.2
PX320NOH,MP99EQG0AR,6SHZJG80,2023-07-29 03:59:50,05:27:07,Mobile,YP6DL3U3,8JWLGOR7,Wind Model,06S0CNCIBN92,1,321.75,321.75
XBTYG5ET,LUTITHI33F,J2M0A3G8,2020-12-04 03:59:50,11:27:31,In-store,9U8COO7I,E8543UJ2,Trial Leave,EQGPGCE1DQ7E,2,411.82,823.64
IMSUAU1I,MYETOGNEXK,OT19SL0U,2023-05-18 03:59:50,08:18:15,In-store,FLMIPXGA,PV1LATWF,House Quality,HYVRLCFB7C0H,2,469.06,938.12
4QY6K04R,GVLHOBM05F,QY4F4EL2,2021-08-10 03:59:50,13:24:38,Online,5FZSTT2Q,EIRH7VEG,Forward Want,DMEE3HR2PNCY,9,475.65,4280.85
9IF2ESIS,FY5H64BVRY,UXRQMYC0,2022-08-14 03:59:50,02:26:37,Mobile,V4ZBYVFJ,UXQKHE1C,Cultural Identify,69L96GYLO2IL,5,251.93,1259.65
Z0LYAT0R,RPY0N2R0CB,BVLJC1NO,2023-05-14 03:59:50,23:59:26,Online,GJDFBAYL,T92BGD7P,Detail Evening,1LWQML8OOFMI,5,324.53,1622.65
SZP7AH8K,6AAQFZSC06,4H29ZWAK,2020-12-24 03:59:50,17:55:44,In-store,3K2XYCEV,23LAO2PE,Provide Yard,4RG1D3PEAVON,9,309.17,2782.53
OWFRS3SY,DZVJM9IU2Y,6XT8WRUZ,2022-09-03 03:59:50,04:51:09,In-store,GP7HTPXT,GGKNC95H,End Pretty,5PKAXYBWR92R,1,118.91,118.91
IOAAF81O,27TJDG0877,Q35F211M,2020-06-19 03:59:50,19:51:24,Online,XI00I1L5,AY471PKS,Such Call,QI1XZ0BM6VNP,4,178.12,712.48
YJ8GKX5A,GQ7QBEK8KH,55PYWDBP,2020-01-18 03:59:50,02:04:10,In-store,CB9NCO8R,LGK4WRWH,Plan State,8FDXWU72S6RC,3,397.87,1193.61
KGN2SUUN,4CVD6AD4J2,Z9I777B4,2024-05-01 03:59:50,18:38:45,Mobile,AMYCNQBN,1ILJNCPB,Wish Not,EFXFG6KQHKRI,10,259.64,2596.4
CTC5SDTH,GILU9JHVBN,FAP3P1XW,2024-04-16 03:59:50,14:12:25,Mobile,KCH2ZHIB,YVYGP432,Affect Simply,P7XMGG7OL3N3,5,454.19,2270.95
LDKYK2PY,JR2871WFOI,KPR75NHC,2022-09-27 03:59:50,05:50:37,Mobile,72XXE36O,ADCJUIY1,Food Everyone,9V7OTLM3HZTF,5,28.45,142.25
6H3XP2L3,BXOUAPI5F9,FZRTIFE7,2023-08-11 03:59:50,16:02:17,Mobile,UCEU0I75,SO9L7D59,Generation Start,I2OP7CALIOZ6,1,312.96,312.96
QT78NP06,VX4VL6W3O5,7NEFXUC0,2024-02-11 03:59:50,14:43:22,In-store,6BOHITHP,MNLU6OEO,Lay Focus,IFVRRHDB0DU9,9,332.19,2989.71
R2UT1L70,LHFST11YKZ,55B4SIV5,2024-02-05 03:59:50,05:34:12,In-store,EEB651GP,X6LEDVP7,Mr Assume,CX5ASO924KWX,7,458.92,3212.44
I5KA8CPB,MOML4S6O95,4YWMU5VR,2022-01-31 03:59:50,18:35:09,In-store,3EFYW54H,9FUYBKRB,Behind Source,PBVKCKS66URD,4,486.69,1946.76
VJ2YMZT6,I55QS4EVDT,M9RPSXKZ,2023-12-19 03:59:50,20:50:21,Mobile,F6PRIRZV,EN32FPHM,Police Will,UB93YQ8LUTSC,5,351.68,1758.4
4CJ8QW9L,2GNYC10K09,X6RSRIZ2,2019-12-14 03:59:50,05:15:18,Online,3K2XYCEV,8CSW8PCY,Partner Professor,6MFHPQXWZMVU,10,411.83,4118.3
44S8CHXK,507AOLFKYO,6WAZLPDV,2022-04-21 03:59:50,13:54:35,In-store,W6UGLU70,R3AAZPQQ,Family Success,HJW7I2OFC3N3,8,334.58,2676.64
DOG28H7T,DDIVXA1CQU,RF7P8Q7D,2022-09-03 03:59:50,21:25:35,In-store,8MHQYVV2,V184V1OG,Few Agree,6C9M830JEYCP,5,242.52,1212.6
4M64YYQ7,LMVA63AMUS,SQTL4WDH,2020-05-16 03:59:50,05:36:13,In-store,RY3CNG09,CJ5R8BQ3,Last Style,UXU2601KPGS7,3,28.67,86.01
M1U53EZY,ZY13O939AL,EBJF4ZOS,2019-12-04 03:59:50,04:09:57,Online,EDCN3DK9,7OZ1KRLX,Truth Good,3HN613L3ENNS,9,96.98,872.82
ASBF2FXM,9N8JTH0ATK,JJM7YP8F,2022-10-16 03:59:50,02:34:10,Online,3VFQ99V6,S7QPETR7,Yet Care,G4AMVLTN9CI3,9,406.12,3655.08
6SYB533D,RKYVDJNC68,2CYZHPV3,2019-12-31 03:59:50,11:18:18,Online,FWFG2SYM,ZU5Z10Z1,Face According,FHGMCH81XJKS,8,266.97,2135.76
2HVMB2L8,O48QWGEDD1,5W0G14NW,2023-05-28 03:59:50,21:38:45,Mobile,09V4XPSE,L9F7CLRB,Raise Book,0EYV1V388932,4,465.99,1863.96
9E781GSB,G0KXMTVHDN,WIPOOXZ1,2021-06-28 03:59:50,18:16:29,In-store,7RS7T582,VQ70FHVG,Subject Pay,HIWF945ZG05A,10,422.95,4229.5
