,SaleId,TransactionDate,TransactionTime,InvoiceNum,SalesChannel,QuantitySold,TotalAmount,CustomerId,ProductId
0,UZEJHAXM,2022-05-23 03:59:50,21:02:09,YAOJW0WR,In-store,6,,PIKJ544M,SSIY7ZMP
1,4GGPG04V,2022-02-18 03:59:50,11:55:56,5B1X3CV6,Mobile,4,,50P3LODM,MCR9LYZ9
2,96EPUYWX,2023-02-08 03:59:50,11:14:14,1Z6G9581,In-store,2,,KHQXNMNV,YIXPV6FR
3,IWCPI2PR,2021-10-15 03:59:50,03:12:12,UN494URK,Online,8,,YDXJGO6Z,ZALZSS4U
4,DQR04HJO,2023-02-21 03:59:50,16:48:51,T497ELWM,In-store,6,,W8UAEVIU,KDZA6L77
5,OELOEZKK,2023-07-03 03:59:50,05:53:50,HXIJQ7YC,Mobile,1,,R58213SZ,S377UOIH
6,XUDB0XDH,2022-09-29 03:59:50,17:38:01,SH21BZJE,Online,8,,RZ5PAFE0,K83LV6YK
7,WZBSWKG2,2021-02-16 03:59:50,13:14:43,2MPF7Y1U,In-store,8,,U74SVXE9,3VU19X94
8,91CCR1Q6,2019-12-10 03:59:50,07:33:15,3RJQOONI,Mobile,2,,OPMX5IHC,67IEEV4Z
9,81BVB2YR,2020-02-17 03:59:50,01:53:20,64FZP9DK,Online,8,,36RWD5U9,IEL2OUJX
10,YS6HDAPQ,2019-12-03 03:59:50,11:18:30,8VB7EMZU,In-store,2,,HQ2PMIXN,521KFFW8
11,PCW9Z5XW,2020-11-18 03:59:50,08:10:10,R2NAVSOM,Mobile,4,,72627LU3,L544FPT2
12,YUSKZT9L,2022-10-23 03:59:50,19:24:00,HTNUESFF,Online,4,,V9RED5WA,BLU9CZBI
13,SY56B0TY,2022-12-10 03:59:50,22:13:14,KJKG9MEQ,Mobile,10,,GY3UYRWG,B9C8W5O6
14,PX320NOH,2023-07-29 03:59:50,05:27:07,6SHZJG80,Mobile,1,,JJ6RVHHQ,SFALI5R1
15,XBTYG5ET,2020-12-04 03:59:50,11:27:31,J2M0A3G8,In-store,2,,QVEZ0E6C,A0JBJIIG
16,IMSUAU1I,2023-05-18 03:59:50,08:18:15,OT19SL0U,In-store,2,,WKJWO5K1,W7FIXABP
17,4QY6K04R,2021-08-10 03:59:50,13:24:38,QY4F4EL2,Online,9,,KDXBALPB,EK4X7GG4
18,9IF2ESIS,2022-08-14 03:59:50,02:26:37,UXRQMYC0,Mobile,5,,7A13KPWU,1JTL5350
19,Z0LYAT0R,2023-05-14 03:59:50,23:59:26,BVLJC1NO,Online,5,,X3TU3WTL,Z0UODJR5
20,SZP7AH8K,2020-12-24 03:59:50,17:55:44,4H29ZWAK,In-store,9,,QB2I2HMR,ZM5HVR3J
21,OWFRS3SY,2022-09-03 03:59:50,04:51:09,6XT8WRUZ,In-store,1,,VT2BVL8F,1UWTXNG4
22,IOAAF81O,2020-06-19 03:59:50,19:51:24,Q35F211M,Online,4,,KVY2UYCD,KLAH0YED
23,YJ8GKX5A,2020-01-18 03:59:50,02:04:10,55PYWDBP,In-store,3,,RDV2JU2C,YWG66IA1
24,KGN2SUUN,2024-05-01 03:59:50,18:38:45,Z9I777B4,Mobile,10,,HDS6CXSO,E7DF46GB
25,CTC5SDTH,2024-04-16 03:59:50,14:12:25,FAP3P1XW,Mobile,5,,2BU1053A,L0A0YOGQ
26,LDKYK2PY,2022-09-27 03:59:50,05:50:37,KPR75NHC,Mobile,5,,535H6EL2,68QN2YZE
27,6H3XP2L3,2023-08-11 03:59:50,16:02:17,FZRTIFE7,Mobile,1,,EDCN3DK9,5INYEG6Q
28,QT78NP06,2024-02-11 03:59:50,14:43:22,7NEFXUC0,In-store,9,,TGNVNLR9,N7P462P4
29,R2UT1L70,2024-02-05 03:59:50,05:34:12,55B4SIV5,In-store,7,,QCC6D5WQ,QILZDHSC
30,I5KA8CPB,2022-01-31 03:59:50,18:35:09,4YWMU5VR,In-store,4,,IAIUEDD4,DK0OBT0S
31,VJ2YMZT6,2023-12-19 03:59:50,20:50:21,M9RPSXKZ,Mobile,5,,A1GBQB43,QAB3NFSU
32,4CJ8QW9L,2019-12-14 03:59:50,05:15:18,X6RSRIZ2,Online,10,,NP3ZCLF0,7XUO9JII
33,44S8CHXK,2022-04-21 03:59:50,13:54:35,6WAZLPDV,In-store,8,,9XUCYVWS,S3OBCNYG
34,DOG28H7T,2022-09-03 03:59:50,21:25:35,RF7P8Q7D,In-store,5,,Y8WCIU53,C1FCK4HD
35,4M64YYQ7,2020-05-16 03:59:50,05:36:13,SQTL4WDH,In-store,3,,21IL80SK,3NVXE1KR
36,M1U53EZY,2019-12-04 03:59:50,04:09:57,EBJF4ZOS,Online,9,,7H371B4C,4KUX8Y35
37,ASBF2FXM,2022-10-16 03:59:50,02:34:10,JJM7YP8F,Online,9,,98WXDACX,6SW9Z516
38,6SYB533D,2019-12-31 03:59:50,11:18:18,2CYZHPV3,Online,8,,5FZSTT2Q,W3D6XEX4
39,2HVMB2L8,2023-05-28 03:59:50,21:38:45,5W0G14NW,Mobile,4,,EZ4SOXIF,BO3J0F8X
40,9E781GSB,2021-06-28 03:59:50,18:16:29,WIPOOXZ1,In-store,10,,AYTGI19W,SBQKZ740
41,IPJS8TQ1,2023-04-10 03:59:50,18:12:16,7VJ3MLOG,Online,1,,7S0J5EX9,C7XDEV6D
42,V6B5AJXN,2024-03-29 03:59:50,14:00:08,4CIDJONZ,Online,5,,YRQC814N,YEQ6Y959
43,2YM85VXV,2022-03-03 03:59:50,19:52:41,VQBKL0WD,Mobile,10,,H3OWB4WB,1ILJNCPB
44,E5URXRSK,2024-04-14 03:59:50,01:24:15,9IEZ4APT,Online,9,,WFUADD2G,XM0W5H99
45,726TN3WM,2023-06-27 03:59:50,03:31:20,CAWNX5HV,Mobile,2,,R7KQJHPN,SYV39QCL
46,ZAT5NW84,2022-02-21 03:59:50,04:32:24,9NQOCPYM,Mobile,10,,TH0DNJW8,SRMXFT8L
47,5S352FI0,2020-12-22 03:59:50,13:45:12,V6JDQ4JM,Online,6,,CMHB50RN,ZIJWCPB3
48,REFCP5E7,2024-09-10 03:59:50,15:16:03,4EPSFV52,Online,1,,J29P09I9,C2SXP08T
49,WCBWHX1U,2021-02-03 03:59:50,15:21:39,OTFMAK2D,Online,3,,QC0XNBPW,5XUDPDIX
50,JXNQUJJD,2023-09-27 03:59:50,03:49:40,S4P1NAQ6,Online,4,,LHF1K3QP,LCP3YLF1
51,2CXKDQ5O,2024-04-03 03:59:50,07:24:44,UXT5L7G4,Online,1,,YCIKH5XU,T5SVH65A
52,R3SZSG4K,2023-04-15 03:59:50,17:23:43,I2TTLEAS,In-store,1,,14IEQBQP,YYCGGV8D
53,58H7LNNV,2020-02-16 03:59:50,10:38:11,GB3JQOR7,Mobile,7,,9SBOH5CA,VBYJB98O
54,WOC9P6BU,2024-04-27 03:59:50,20:25:50,CBRSN6OL,Mobile,3,,TSRQKLK4,XZQMQL9M
55,P20VSWV1,2024-08-10 03:59:50,04:44:21,HP7TQHY3,Online,6,,BJ524A7Y,LGK4WRWH
56,0IVHW581,2023-02-13 03:59:50,09:24:36,PSFWMG83,Online,1,,J4X0N3AF,NBOGHRAY
57,QG2Z9VO0,2021-05-16 03:59:50,12:33:35,1THU2T24,In-store,8,,EFR7HNR8,ZVHI4TK1
58,XFYNDGJO,2020-03-14 03:59:50,09:16:17,O91ENA67,In-store,9,,X9ST1MU2,5VNO67LR
59,OZH25O29,2022-04-15 03:59:50,08:12:13,4P9O9LGF,Online,7,,YOTQPWZ8,SOD0ZPN0
60,G8P5SG1B,2021-06-21 03:59:50,18:32:40,6N0NPODV,Mobile,2,,A8QA938X,84XBFS43
61,HVVNNXY7,2024-01-30 03:59:50,11:05:09,MVJW5ER9,Mobile,8,,C1RA47DI,7VUO3K1O
62,A0V0U44E,2021-11-26 03:59:50,00:54:08,3EVA7U8K,Online,7,,DHK08KFN,9ZP7OAH5
63,LLRSLU6X,2020-11-01 03:59:50,12:12:24,APCWH8DF,Mobile,3,,WL008TZE,NACYAYP1
64,UCECKEE8,2023-10-18 03:59:50,16:08:09,40CDBOCY,Online,7,,ZEQS6E13,LM8S7GE9
65,FU7XF8T5,2021-12-28 03:59:50,02:24:44,08XTLWT8,Online,4,,LIDXTJRS,OOC4DY7L
66,B3PNKQLW,2022-10-09 03:59:50,08:14:09,WL35OWPT,In-store,6,,TVLFLPRY,ANDDFWMR
67,UD9EHOXY,2020-04-24 03:59:50,08:01:45,HGX42IR8,Mobile,3,,2V4E7VI5,JTWHB1G2
68,ZO4Y9SMT,2023-08-12 03:59:50,17:48:57,7ISG5JUY,Online,6,,LEB5TYDW,Z2ECBIX2
69,RMODAYIB,2021-05-17 03:59:50,22:12:39,8BJTZTXE,Mobile,7,,495Q9QKB,2ECN2D1X
70,ZSTR3P2H,2022-02-16 03:59:50,01:38:03,GT93FI70,Mobile,8,,WIOXV880,DXG9ZU1V
71,HT9OH4VW,2024-02-12 03:59:50,04:05:29,C2JRYYFR,In-store,1,,6FYWE7IU,SOQD5ICL
72,JOYGENRA,2022-06-03 03:59:50,20:06:07,NKESW68H,In-store,10,,I5JUNQU7,10REGNFL
73,8SBHGOQ0,2020-04-27 03:59:50,22:39:57,W8VQ7C7P,Mobile,5,,BAXW37AE,LZHXPGGP
74,KR11X8AW,2019-11-09 03:59:50,04:05:35,UP7VF6HQ,Mobile,1,,6F2ECV7S,8UKXMSA1
75,Q58UXZIN,2020-03-20 03:59:50,14:54:41,Y477WWKP,Mobile,7,,ZX86UJ8X,YIBXNMY1
76,FB2HB2JH,2022-03-15 03:59:50,06:14:15,54PLP9E9,Online,1,,SGDYUYHH,M5SN2OLI
77,FL8UJ6BV,2021-11-04 03:59:50,08:58:32,YIAEDW9H,Online,7,,W6V0BVOU,QO8PXDGR
78,O5YMHVHG,2021-11-27 03:59:50,23:59:40,0DXEVZJ3,In-store,3,,8SJVPUHN,5WNGOCW5
79,9FNDEQW1,2021-08-10 03:59:50,14:40:30,1WN99699,Mobile,4,,26YOS3D0,ATQC6FAU
80,FFSQS3IR,2023-12-09 03:59:50,00:15:03,02FUIM3Q,Mobile,6,,DJR1RU4S,UR4GOX56
81,DVR3FG8B,2020-08-04 03:59:50,23:35:00,U6LJ64JW,In-store,1,,F76ZF9OB,59B7Z5GA
